Model,Test Accuracy (%)
alexnet,56.61083102943568
vgg16,62.660595218734755
vgg19,42.885021954789394
resnet18,81.54171409985364
resnet50,84.30639128313547
resnet101,81.73686778337941
densenet121,83.46072532119044
densenet201,85.16832005204098
mobilenet_v2,81.28150918848593
googlenet,80.41958041958041
