Model,Test Accuracy (%)
alexnet,43.72153545868575
vgg16,48.601171112556926
vgg19,45.803513337670786
resnet18,42.02992843201041
resnet50,49.31685100845804
resnet101,46.06376057254392
densenet121,48.275862068965516
densenet201,47.16981132075472
shufflenet_v2_x1_0,1.3012361743656473
mobilenet_v2,49.251789199739754
googlenet,37.34547820429408
