Model,Test Accuracy (%)
alexnet,73.96324605626931
vgg16,81.42787445113026
vgg19,76.71166043259066
resnet18,82.06212392258904
resnet50,85.98146040006505
resnet101,84.98942917547569
densenet121,86.94096601073345
densenet201,88.9900796877541
shufflenet_v2_x1_0,8.60302488209465
mobilenet_v2,86.1928768905513
googlenet,81.9157586599447
