Model,Test Accuracy (%)
alexnet,24.267100977198698
vgg16,26.710097719869708
vgg19,27.52442996742671
resnet18,16.938110749185668
resnet50,27.52442996742671
resnet101,24.7557003257329
densenet121,27.36156351791531
densenet201,22.149837133550488
shufflenet_v2_x1_0,0.9771986970684039
mobilenet_v2,19.055374592833875
googlenet,2.9315960912052117
