Model,Test Accuracy (%)
alexnet,69.50723694909742
vgg16,70.98715238250122
vgg19,69.39339730037405
resnet18,88.74613758334688
resnet50,90.43746950723695
resnet101,88.48593267197919
densenet121,89.81948284273865
densenet201,92.32395511465279
mobilenet_v2,89.7869572288177
googlenet,88.04683688404619
