Model,Test Accuracy (%)
alexnet,67.40933485119531
vgg16,70.58058220848919
vgg19,63.57131240852171
resnet18,88.9900796877541
resnet50,87.18490811514067
resnet101,87.24995934298259
densenet121,90.1284761749878
densenet201,92.21011546592942
mobilenet_v2,89.70564319401528
googlenet,88.45340705805822
