Model,Test Accuracy (%)
alexnet,26.118067978533094
vgg16,26.231907627256465
vgg19,18.97869572288177
resnet18,37.35566758822573
resnet50,44.169783704667424
resnet101,42.006830378923404
densenet121,42.20198406244918
densenet201,45.909904049438936
mobilenet_v2,44.169783704667424
googlenet,39.92519108798179
